epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.258,1.58572,2.93061,2.02824,0.0034,1,0.07483,0.02806,1.76276,4.12683,3.53617,0.000158333,0.000158333,0.0684917
2,102.82,1.31525,2.45404,1.75138,0.00364,1,0.44342,0.10011,1.6149,4.22832,3.32949,0.000260325,0.000260325,0.0352603
3,171.527,1.33135,2.31755,1.75389,0.0035,1,0.88444,0.29881,1.61115,3.52267,3.35729,0.000295983,0.000295983,0.00196265
4,251.956,1.25182,2.10459,1.69786,0.00361,1,0.86537,0.35033,1.48326,3.1267,2.89826,0.0002015,0.0002015,0.0002015
5,306.39,1.24783,2.07349,1.67132,0.08017,1,0.93944,0.42865,1.37216,2.98962,2.73938,0.000102,0.000102,0.000102
