epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82847,1.61718,3.80331,2.47776,0.00362,1,0.20956,0.10684,1.53527,3.88083,3.79716,0.000166667,0.000166667,0.0835
2,11.4866,1.91068,3.40066,2.45096,0.00362,1,0.20956,0.10684,1.53527,3.88083,3.79716,0.000495875,0.000495875,0.0504959
3,17.7257,1.88075,3.56826,2.61063,0.00362,1,0.20956,0.10684,1.53527,3.88083,3.79716,0.000819583,0.000819583,0.0174863
4,23.3376,1.95118,4.14094,2.70193,0.00954,1,0.24615,0.11007,1.41487,4.10149,3.64367,0.00097525,0.00097525,0.00097525
5,29.2502,1.86078,3.38363,2.45696,0.00954,1,0.24615,0.11007,1.41487,4.10149,3.64367,0.000967,0.000967,0.000967
6,35.2563,1.39988,3.22613,2.09818,0.00954,1,0.24615,0.11007,1.41487,4.10149,3.64367,0.00095875,0.00095875,0.00095875
7,41.0031,1.57019,3.20949,2.23588,0.00954,1,0.24615,0.11007,1.41487,4.10149,3.64367,0.0009505,0.0009505,0.0009505
8,47.1869,1.51459,3.22855,2.28372,0.00894,0.83333,0.35062,0.1588,1.38614,3.85771,3.62708,0.00094225,0.00094225,0.00094225
9,52.8681,1.41931,2.97936,2.07458,0.00894,0.83333,0.35062,0.1588,1.38614,3.85771,3.62708,0.000934,0.000934,0.000934
10,58.4964,1.36633,2.84791,1.99678,0.00894,0.83333,0.35062,0.1588,1.38614,3.85771,3.62708,0.00092575,0.00092575,0.00092575
11,64.0908,1.71055,2.9686,2.3754,0.00592,1,0.2519,0.09192,1.53565,3.82605,3.35272,0.0009175,0.0009175,0.0009175
12,69.8367,1.54157,2.99539,2.18863,0.00592,1,0.2519,0.09192,1.53565,3.82605,3.35272,0.00090925,0.00090925,0.00090925
13,75.4645,1.51815,3.07779,2.04643,0.00592,1,0.2519,0.09192,1.53565,3.82605,3.35272,0.000901,0.000901,0.000901
14,81.1196,1.38887,3.0343,2.01872,0.00592,1,0.2519,0.09192,1.53565,3.82605,3.35272,0.00089275,0.00089275,0.00089275
15,87.0773,1.29261,2.91386,1.98193,0.00631,1,0.52729,0.28649,1.39552,3.61585,3.33299,0.0008845,0.0008845,0.0008845
16,92.997,1.43705,2.77934,1.87043,0.00631,1,0.52729,0.28649,1.39552,3.61585,3.33299,0.00087625,0.00087625,0.00087625
17,98.7607,1.34532,2.81885,2.06186,0.00631,1,0.52729,0.28649,1.39552,3.61585,3.33299,0.000868,0.000868,0.000868
18,105.375,1.24756,2.75351,1.86876,0.0061,1,0.39647,0.19852,1.40926,3.56782,2.62725,0.00085975,0.00085975,0.00085975
19,113.531,1.14846,2.68835,1.75226,0.0061,1,0.39647,0.19852,1.40926,3.56782,2.62725,0.0008515,0.0008515,0.0008515
20,121.205,1.30962,2.51306,1.94171,0.0061,1,0.39647,0.19852,1.40926,3.56782,2.62725,0.00084325,0.00084325,0.00084325
21,127.532,1.33676,2.5817,1.97988,0.0061,1,0.39647,0.19852,1.40926,3.56782,2.62725,0.000835,0.000835,0.000835
22,133.449,1.13049,2.3961,1.76528,0.00616,1,0.45786,0.19508,1.556,3.68506,2.75999,0.00082675,0.00082675,0.00082675
23,139.326,1.18944,2.43513,1.83902,0.00616,1,0.45786,0.19508,1.556,3.68506,2.75999,0.0008185,0.0008185,0.0008185
24,145.226,1.32667,2.24119,1.94055,0.00616,1,0.45786,0.19508,1.556,3.68506,2.75999,0.00081025,0.00081025,0.00081025
25,151.331,1.25132,2.38542,1.81178,0.83099,0.16667,0.47281,0.14373,1.7962,3.49939,3.09206,0.000802,0.000802,0.000802
26,157.051,1.20342,2.20572,1.78191,0.83099,0.16667,0.47281,0.14373,1.7962,3.49939,3.09206,0.00079375,0.00079375,0.00079375
27,162.66,1.21345,2.18835,1.77263,0.83099,0.16667,0.47281,0.14373,1.7962,3.49939,3.09206,0.0007855,0.0007855,0.0007855
28,168.226,1.20625,2.36896,1.78789,0.83099,0.16667,0.47281,0.14373,1.7962,3.49939,3.09206,0.00077725,0.00077725,0.00077725
29,173.907,1.09511,2.23705,1.68376,0.89277,0.33333,0.42288,0.14514,1.77812,3.328,3.30754,0.000769,0.000769,0.000769
30,179.576,1.26092,2.19092,1.76774,0.89277,0.33333,0.42288,0.14514,1.77812,3.328,3.30754,0.00076075,0.00076075,0.00076075
31,185.17,1.20808,2.31312,1.87588,0.89277,0.33333,0.42288,0.14514,1.77812,3.328,3.30754,0.0007525,0.0007525,0.0007525
32,190.827,1.37726,2.18447,1.93879,0.00688,1,0.20789,0.07588,1.89911,3.52284,3.30486,0.00074425,0.00074425,0.00074425
33,196.689,1.09675,2.14086,1.74556,0.00688,1,0.20789,0.07588,1.89911,3.52284,3.30486,0.000736,0.000736,0.000736
34,202.372,1.16493,2.44363,1.76055,0.00688,1,0.20789,0.07588,1.89911,3.52284,3.30486,0.00072775,0.00072775,0.00072775
35,208.345,1.10914,2.04555,1.68175,0.00688,1,0.20789,0.07588,1.89911,3.52284,3.30486,0.0007195,0.0007195,0.0007195
36,214.063,1.12585,1.9335,1.63825,0.06543,0.66667,0.29822,0.10001,2.54877,3.57032,3.97269,0.00071125,0.00071125,0.00071125
37,219.858,1.1417,2.05581,1.70932,0.06543,0.66667,0.29822,0.10001,2.54877,3.57032,3.97269,0.000703,0.000703,0.000703
38,225.509,1.2766,2.22732,1.7621,0.06543,0.66667,0.29822,0.10001,2.54877,3.57032,3.97269,0.00069475,0.00069475,0.00069475
39,231.185,1.08252,2.06696,1.70173,0.66667,0.27738,0.33167,0.15742,2.42541,3.38565,3.61581,0.0006865,0.0006865,0.0006865
40,236.82,1.20293,2.16167,1.691,0.66667,0.27738,0.33167,0.15742,2.42541,3.38565,3.61581,0.00067825,0.00067825,0.00067825
