epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59692,1.88787,3.85686,2.92426,0.00346,1,0.0902,0.02916,1.61234,3.86927,3.79402,0.000166667,0.000166667,0.0835
2,12.5897,1.82215,3.37002,2.52382,0.00346,1,0.0902,0.02916,1.61234,3.86927,3.79402,0.000495875,0.000495875,0.0504959
3,18.5841,1.88649,3.55417,2.80173,0.00346,1,0.0902,0.02916,1.61234,3.86927,3.79402,0.000819583,0.000819583,0.0174863
4,24.4754,2.06238,4.0227,2.99389,0.00538,0.83333,0.31708,0.08282,1.57658,3.96493,3.10399,0.00097525,0.00097525,0.00097525
5,30.2651,1.55936,3.24975,2.39549,0.00538,0.83333,0.31708,0.08282,1.57658,3.96493,3.10399,0.000967,0.000967,0.000967
6,36.2192,1.34294,3.26926,2.20814,0.00538,0.83333,0.31708,0.08282,1.57658,3.96493,3.10399,0.00095875,0.00095875,0.00095875
7,41.8881,1.54467,3.01883,2.31574,0.00538,0.83333,0.31708,0.08282,1.57658,3.96493,3.10399,0.0009505,0.0009505,0.0009505
8,47.4725,1.29424,3.14455,2.18642,0.00878,0.83333,0.29822,0.13607,1.63174,3.9796,3.17066,0.00094225,0.00094225,0.00094225
9,53.1333,1.15813,2.61628,1.81791,0.00878,0.83333,0.29822,0.13607,1.63174,3.9796,3.17066,0.000934,0.000934,0.000934
10,58.506,1.1829,2.67583,1.85887,0.00878,0.83333,0.29822,0.13607,1.63174,3.9796,3.17066,0.00092575,0.00092575,0.00092575
11,64.2314,1.32671,2.84005,2.03233,0.00899,1,0.41944,0.18999,1.38671,3.72158,2.6124,0.0009175,0.0009175,0.0009175
12,69.9511,1.14299,2.65442,1.81794,0.00899,1,0.41944,0.18999,1.38671,3.72158,2.6124,0.00090925,0.00090925,0.00090925
13,75.6743,1.32894,2.72261,1.85062,0.00899,1,0.41944,0.18999,1.38671,3.72158,2.6124,0.000901,0.000901,0.000901
14,81.2821,1.2453,2.69498,1.8696,0.00899,1,0.41944,0.18999,1.38671,3.72158,2.6124,0.00089275,0.00089275,0.00089275
15,87.027,1.45568,2.66957,2.16443,0.00563,1,0.58103,0.24681,1.39071,3.82358,2.68509,0.0008845,0.0008845,0.0008845
16,92.5762,1.20667,2.50912,1.71545,0.00563,1,0.58103,0.24681,1.39071,3.82358,2.68509,0.00087625,0.00087625,0.00087625
17,98.3013,1.08838,2.58049,1.816,0.00563,1,0.58103,0.24681,1.39071,3.82358,2.68509,0.000868,0.000868,0.000868
18,104.158,1.08446,2.32296,1.64372,0.00481,1,0.696,0.30401,1.71663,3.82166,3.30939,0.00085975,0.00085975,0.00085975
19,109.816,1.06959,2.3907,1.71226,0.00481,1,0.696,0.30401,1.71663,3.82166,3.30939,0.0008515,0.0008515,0.0008515
20,115.485,1.09892,2.20026,1.6919,0.00481,1,0.696,0.30401,1.71663,3.82166,3.30939,0.00084325,0.00084325,0.00084325
21,121.094,1.49619,2.57328,2.10427,0.00481,1,0.696,0.30401,1.71663,3.82166,3.30939,0.000835,0.000835,0.000835
22,127.021,1.21958,2.30648,1.80351,0.7617,0.33333,0.39792,0.23484,1.48318,3.24451,3.10056,0.00082675,0.00082675,0.00082675
23,132.784,0.87458,2.09115,1.5208,0.7617,0.33333,0.39792,0.23484,1.48318,3.24451,3.10056,0.0008185,0.0008185,0.0008185
24,138.723,1.1365,2.00067,1.76528,0.7617,0.33333,0.39792,0.23484,1.48318,3.24451,3.10056,0.00081025,0.00081025,0.00081025
